property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Condominium,4.0,2,3,1264.0,Kuala Lumpur,2500.0,0,0,0,0,0,1
Condominium,3.0,1,2,800.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,2,2,1000.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,4.0,1,2,940.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Apartment,3.0,1,2,770.0,Kuala Lumpur,1799.0,0,0,0,0,0,0
Apartment,1.0,1,1,450.0,Kuala Lumpur,1600.0,0,1,0,0,0,0
Service Residence,2.0,1,1,600.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Service Residence,1.0,1,1,618.0,Kuala Lumpur,1300.0,1,0,0,0,0,0
Apartment,1.0,1,1,450.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,3.0,1,2,1250.0,Kuala Lumpur,3000.0,0,0,0,0,0,0
Service Residence,3.0,1,2,950.0,Kuala Lumpur,1000.0,0,0,0,0,0,1
Condominium,9.0,1,2,900.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Service Residence,4.0,1,2,940.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Condominium,3.0,1,2,911.0,Kuala Lumpur,1800.0,1,0,0,0,0,0
Service Residence,3.0,1,2,1400.0,Kuala Lumpur,1700.0,0,0,0,0,0,1
Condominium,3.0,2,2,1100.0,Kuala Lumpur,2000.0,0,0,1,0,0,0
Condominium,4.0,2,2,1000.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Condominium,3.0,2,3,1155.0,Kuala Lumpur,2100.0,0,0,0,0,0,1
Service Residence,1.0,1,1,752.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1700.0,0,0,1,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,1,2,926.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,2.0,1,2,800.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,3.0,1,2,873.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Condominium,3.0,1,2,1200.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Apartment,3.0,1,2,795.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,1163.0,Kuala Lumpur,1300.0,0,0,1,0,0,0
Condominium,3.0,2,2,1184.0,Kuala Lumpur,2300.0,0,0,1,0,0,0
Apartment,3.0,1,2,1000.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,2.0,1,2,886.0,Kuala Lumpur,2500.0,0,0,0,0,1,0
Apartment,3.0,1,2,810.0,Kuala Lumpur,2000.0,0,0,0,0,0,1
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,3,1371.0,Kuala Lumpur,2600.0,0,0,0,1,0,0
Condominium,3.0,1,3,1371.0,Kuala Lumpur,2600.0,0,0,0,1,0,0
Service Residence,1.0,1,1,648.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,4.0,3,2,1219.0,Kuala Lumpur,2400.0,0,0,0,0,0,0
Condominium,4.0,2,2,1219.0,Kuala Lumpur,2399.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1049.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Apartment,3.0,1,2,800.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Apartment,2.0,1,2,800.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Condominium,3.0,1,2,1000.0,Kuala Lumpur,2000.0,0,0,0,0,1,0
Apartment,3.0,1,2,1182.0,Kuala Lumpur,2850.0,0,0,0,0,1,0
Service Residence,2.0,1,2,611.0,Kuala Lumpur,1699.0,0,0,0,0,1,0
Apartment,3.0,1,2,830.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Service Residence,2.0,1,1,737.0,Kuala Lumpur,2300.0,0,0,0,0,1,0
Condominium,3.0,1,3,1010.0,Kuala Lumpur,1950.0,0,0,0,0,1,0
Service Residence,4.0,2,5,1804.0,Kuala Lumpur,7000.0,0,0,0,0,0,0
Condominium,3.0,2,2,1005.0,Kuala Lumpur,1800.0,0,0,0,0,0,1
Apartment,3.0,1,2,800.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1800.0,0,1,0,0,0,0
Condominium,3.0,1,2,750.0,Kuala Lumpur,1200.0,0,0,0,0,0,1
Service Residence,2.0,1,1,468.0,Kuala Lumpur,1500.0,0,0,0,0,1,0
Apartment,2.0,1,1,650.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Apartment,3.0,1,2,797.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Condominium,3.0,1,2,908.0,Kuala Lumpur,2700.0,0,0,0,0,1,0
Apartment,3.0,1,2,700.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Apartment,4.0,1,3,1375.0,Kuala Lumpur,3500.0,0,0,0,0,0,0
Service Residence,1.0,1,1,442.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,2.0,1,2,850.0,Kuala Lumpur,1800.0,0,0,0,0,0,1
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Service Residence,2.0,1,2,900.0,Kuala Lumpur,2800.0,1,0,0,0,0,0
Service Residence,1.0,1,1,530.0,Kuala Lumpur,1700.0,0,0,1,0,0,0
Service Residence,1.0,1,1,499.0,Kuala Lumpur,2100.0,1,0,0,0,0,0
Service Residence,1.0,1,1,607.0,Kuala Lumpur,2600.0,1,0,0,0,0,0
Service Residence,1.0,1,1,499.0,Kuala Lumpur,2000.0,1,0,0,0,0,0
Service Residence,1.0,1,1,607.0,Kuala Lumpur,2500.0,1,0,0,0,0,0
Service Residence,5.0,3,3,1498.0,Kuala Lumpur,4600.0,1,0,0,0,0,0
Condominium,3.0,1,2,830.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Apartment,4.0,1,2,650.0,Kuala Lumpur,1150.0,0,0,1,0,0,0
Service Residence,2.0,1,2,725.0,Kuala Lumpur,1900.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,950.0,0,0,0,0,0,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Service Residence,3.0,2,3,918.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1200.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Condominium,3.0,1,2,920.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,4.0,1,1,800.0,Kuala Lumpur,1000.0,0,0,1,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1800.0,1,0,0,0,0,0
Service Residence,2.0,2,2,1300.0,Kuala Lumpur,2900.0,0,0,0,0,0,0
Service Residence,1.0,1,1,560.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,2,2,1000.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,3.0,1,2,911.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Condominium,2.0,1,1,592.0,Kuala Lumpur,601.0,0,0,0,0,0,0
Condominium,3.0,1,2,926.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,3.0,1,2,921.0,Kuala Lumpur,1205.0,0,0,0,0,0,0
Service Residence,1.0,1,1,499.0,Kuala Lumpur,2000.0,0,1,0,0,0,0
Condominium,3.0,2,2,958.0,Kuala Lumpur,1688.0,0,0,0,0,0,0
Condominium,4.0,2,3,1647.0,Kuala Lumpur,3500.0,0,0,0,0,0,0
Service Residence,2.0,1,2,960.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,800.0,0,0,0,0,0,0
Condominium,3.0,2,2,958.0,Kuala Lumpur,1388.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,800.0,0,0,0,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,1900.0,0,1,0,0,0,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,1.0,1,1,350.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Condominium,2.0,1,2,1020.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,4.0,2,4,2600.0,Kuala Lumpur,10300.0,0,0,0,0,1,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,950.0,0,0,0,0,0,0
Condominium,4.0,2,2,1227.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,1.0,1,1,689.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Condominium,3.0,2,2,1023.0,Kuala Lumpur,2100.0,0,0,1,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,630.0,0,0,0,0,0,0
Condominium,3.0,2,2,900.0,Kuala Lumpur,2400.0,0,0,0,0,1,0
Service Residence,3.0,1,2,900.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Condominium,4.0,1,3,1800.0,Kuala Lumpur,3700.0,0,0,0,0,0,0
Service Residence,2.0,1,2,761.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Service Residence,2.0,2,2,650.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,4.0,2,3,1200.0,Kuala Lumpur,4000.0,0,0,1,0,0,0
Apartment,4.0,1,2,1070.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1231.0,Kuala Lumpur,1250.0,0,0,0,0,1,0
Apartment,2.0,1,1,650.0,Kuala Lumpur,800.0,0,0,0,0,0,0
Service Residence,2.0,1,2,900.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,1062.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Service Residence,2.0,1,1,710.0,Kuala Lumpur,2400.0,0,0,0,0,1,0
Condominium,3.0,2,2,908.0,Kuala Lumpur,2600.0,0,0,0,0,1,0
Condominium,3.0,1,2,904.0,Kuala Lumpur,1100.0,0,0,0,0,1,0
Condominium,3.0,1,2,950.0,Kuala Lumpur,1200.0,0,0,1,0,0,0
Condominium,4.0,2,2,1184.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Service Residence,3.0,2,2,924.0,Kuala Lumpur,2700.0,0,0,0,0,0,0
Apartment,4.0,1,2,850.0,Kuala Lumpur,1999.0,0,0,0,0,0,0
Apartment,3.0,1,2,770.0,Kuala Lumpur,1899.0,0,0,0,0,0,1
Condominium,3.0,1,2,925.0,Kuala Lumpur,1204.0,0,0,0,0,0,0
Condominium,3.0,1,2,926.0,Kuala Lumpur,1202.0,0,0,0,0,0,0
Condominium,4.0,2,3,1281.0,Kuala Lumpur,2200.0,0,0,1,0,0,0
Apartment,3.0,1,2,890.0,Kuala Lumpur,1200.0,0,0,0,0,0,1
Service Residence,1.0,1,1,800.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,955.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Apartment,3.0,1,2,700.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Service Residence,3.0,2,2,850.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,5.0,1,2,1100.0,Kuala Lumpur,1750.0,0,0,0,0,0,1
Condominium,3.0,1,3,1267.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Condominium,6.0,1,3,1400.0,Kuala Lumpur,2000.0,0,0,0,0,1,0
Condominium,3.0,1,3,1267.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,1,2,1151.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Condominium,3.0,1,4,1433.0,Kuala Lumpur,2000.0,1,0,0,0,0,0
Condominium,4.0,2,2,1064.0,Kuala Lumpur,1800.0,0,0,1,0,0,0
Service Residence,3.0,1,2,879.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,1100.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Condominium,3.0,2,2,1378.0,Kuala Lumpur,3900.0,0,0,0,0,0,1
Condominium,2.0,1,2,915.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,1.0,1,1,600.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,1,2,1300.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,1.0,1,1,775.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,2.0,1,2,715.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,1.0,1,2,775.0,Kuala Lumpur,1600.0,0,0,0,0,0,1
Apartment,3.0,1,2,972.0,Kuala Lumpur,1200.0,0,0,0,0,0,1
Apartment,3.0,1,2,972.0,Kuala Lumpur,1200.0,0,0,0,0,0,1
Condominium,3.0,1,3,1200.0,Kuala Lumpur,2400.0,0,0,0,0,1,0
Service Residence,4.0,2,2,1040.0,Kuala Lumpur,1750.0,0,0,0,0,0,0
Duplex,1.0,1,2,775.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,1.0,1,1,578.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Service Residence,2.0,1,1,850.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,4.0,2,2,1000.0,Kuala Lumpur,2200.0,0,0,0,0,1,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,1.0,1,1,563.0,Kuala Lumpur,1600.0,1,0,0,0,0,0
Apartment,2.0,1,1,850.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Condominium,2.0,1,2,802.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,1.0,1,1,350.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Condominium,3.0,1,2,987.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Apartment,3.0,1,2,995.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,4.0,2,3,1500.0,Kuala Lumpur,2200.0,0,0,0,0,0,1
Condominium,3.0,1,2,1040.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,2.0,1,1,710.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Service Residence,3.0,1,2,926.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,2.0,1,2,840.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,795.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,3.0,1,2,926.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Apartment,3.0,1,1,653.0,Kuala Lumpur,980.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Apartment,3.0,1,2,1000.0,Kuala Lumpur,1350.0,0,1,0,0,0,0
Condominium,3.0,1,2,862.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1700.0,1,0,0,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,900.0,0,0,0,0,1,0
Apartment,3.0,2,2,875.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Apartment,3.0,2,2,875.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Service Residence,4.0,1,2,940.0,Kuala Lumpur,2100.0,0,0,0,0,1,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1600.0,1,0,0,0,0,0
Condominium,3.0,1,2,950.0,Kuala Lumpur,1300.0,1,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,900.0,0,0,0,0,1,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Condominium,1.0,1,1,441.0,Kuala Lumpur,2400.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1160.0,Kuala Lumpur,1900.0,0,0,0,0,1,0
Apartment,3.0,1,2,700.0,Kuala Lumpur,900.0,0,0,0,0,1,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,1200.0,0,0,1,0,0,0
Condominium,3.0,2,2,908.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,4.0,2,3,1546.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Apartment,3.0,1,2,800.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1111.0,Kuala Lumpur,3800.0,0,0,0,0,0,0
Service Residence,3.0,2,2,924.0,Kuala Lumpur,2700.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,4.0,3,3,2570.0,Kuala Lumpur,8500.0,0,0,0,0,0,1
Service Residence,2.0,1,2,774.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,1.0,2,1,620.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,1.0,1,1,450.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,2.0,1,2,1145.0,Kuala Lumpur,3000.0,0,0,0,0,1,0
Condominium,1.0,1,1,350.0,Kuala Lumpur,1200.0,0,0,0,0,0,1
Condominium,2.0,1,1,1600.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1227.0,Kuala Lumpur,2300.0,0,1,0,0,0,0
Apartment,3.0,1,2,888.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Condominium,3.0,1,2,862.0,Kuala Lumpur,2300.0,0,0,0,0,1,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,950.0,0,1,0,0,0,0
Apartment,3.0,1,1,820.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Service Residence,2.0,1,1,650.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,4.0,2,2,932.0,Kuala Lumpur,1700.0,0,0,0,0,1,0
Apartment,3.0,1,2,806.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Service Residence,1.0,1,1,601.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Condominium,3.0,1,2,1000.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1500.0,0,1,0,0,0,0
Condominium,3.0,1,2,982.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,908.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,1,3,2100.0,Kuala Lumpur,5000.0,0,0,1,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,2.0,9,1,595.0,Kuala Lumpur,1100.0,1,0,0,0,0,0
Service Residence,3.0,2,3,1375.0,Kuala Lumpur,4888.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1850.0,0,0,0,0,0,0
Apartment,4.0,1,2,1400.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,2400.0,0,1,0,0,0,0
Condominium,1.0,1,2,800.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,2,2,922.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,2.0,1,2,916.0,Kuala Lumpur,1400.0,0,0,1,0,0,0
Condominium,3.0,2,2,1003.0,Kuala Lumpur,1390.0,0,0,0,0,0,0
Condominium,3.0,1,2,1280.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,3.0,2,3,918.0,Kuala Lumpur,1900.0,0,0,0,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1800.0,0,0,0,0,1,0
Service Residence,4.0,2,2,1000.0,Kuala Lumpur,3200.0,0,0,0,0,0,0
Service Residence,4.0,2,2,1227.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1800.0,0,0,0,0,0,1
Condominium,3.0,1,2,982.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Apartment,2.0,1,1,700.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1450.0,0,0,0,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,2,3,1376.0,Kuala Lumpur,4888.0,0,0,0,0,0,0
Apartment,2.0,1,1,700.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,2.0,1,2,699.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,2.0,1,1,695.0,Kuala Lumpur,1100.0,0,0,1,0,0,0
Condominium,3.0,1,2,893.0,Kuala Lumpur,2650.0,0,0,0,0,0,0
Condominium,3.0,1,2,950.0,Kuala Lumpur,1800.0,0,0,0,0,1,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1800.0,0,1,0,0,0,0
Condominium,3.0,1,2,1240.0,Kuala Lumpur,1850.0,0,0,0,0,0,0
Condominium,2.0,1,2,969.0,Kuala Lumpur,2100.0,0,0,0,0,1,0
Service Residence,1.0,1,1,494.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Service Residence,3.0,1,2,980.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Condominium,3.0,2,2,1003.0,Kuala Lumpur,2400.0,0,0,1,0,0,0
Service Residence,4.0,1,2,950.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,3.0,1,2,1140.0,Kuala Lumpur,1400.0,1,0,0,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1700.0,0,0,0,0,1,0
Condominium,3.0,1,2,1049.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Condominium,4.0,2,3,1200.0,Kuala Lumpur,2300.0,0,0,0,0,0,1
Apartment,2.0,1,1,657.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,4.0,1,3,1518.0,Kuala Lumpur,3000.0,0,0,0,0,0,0
Service Residence,2.0,1,2,645.0,Kuala Lumpur,1900.0,0,0,0,0,1,0
Condominium,2.0,1,1,750.0,Kuala Lumpur,1100.0,0,0,0,0,0,1
Condominium,2.0,1,2,872.0,Kuala Lumpur,1500.0,1,0,0,0,0,0
Condominium,3.0,1,2,1465.0,Kuala Lumpur,1500.0,0,0,0,0,0,1
Apartment,2.0,2,2,866.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Condominium,3.0,1,2,924.0,Kuala Lumpur,1202.0,0,0,0,0,0,0
Condominium,3.0,1,2,923.0,Kuala Lumpur,1201.0,0,0,0,0,0,0
Condominium,3.0,1,2,860.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Condominium,3.0,1,2,921.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Condominium,3.0,2,2,1050.0,Kuala Lumpur,1600.0,0,0,0,0,0,1
Service Residence,2.0,1,2,1087.0,Kuala Lumpur,2600.0,0,0,0,0,0,1
Service Residence,3.0,1,2,1211.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Service Residence,2.0,1,1,700.0,Kuala Lumpur,2500.0,0,0,0,0,1,0
Service Residence,3.0,2,3,1480.0,Kuala Lumpur,2400.0,0,0,0,0,0,0
Service Residence,2.0,2,2,866.0,Kuala Lumpur,1800.0,1,0,0,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,2000.0,0,0,1,0,0,0
Condominium,3.0,1,2,839.0,Kuala Lumpur,2100.0,1,0,0,0,0,0
Service Residence,3.0,1,2,775.0,Kuala Lumpur,3600.0,0,0,0,0,0,0
Condominium,2.0,1,2,962.0,Kuala Lumpur,1700.0,0,0,0,0,0,1
Service Residence,4.0,2,3,1184.0,Kuala Lumpur,4800.0,1,0,0,0,0,0
Condominium,4.0,2,2,1000.0,Kuala Lumpur,1800.0,0,0,0,0,1,0
Condominium,3.0,2,2,958.0,Kuala Lumpur,1650.0,0,0,1,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Service Residence,3.0,1,2,900.0,Kuala Lumpur,1600.0,0,0,0,1,0,0
Apartment,3.0,1,2,720.0,Kuala Lumpur,1200.0,0,0,0,0,1,0
Service Residence,3.0,1,2,710.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Others,2.0,1,1,850.0,Kuala Lumpur,700.0,0,0,0,0,0,0
Condominium,3.0,1,2,1222.0,Kuala Lumpur,1250.0,0,0,0,0,0,1
Condominium,3.0,2,3,1360.0,Kuala Lumpur,4000.0,0,0,0,0,0,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,750.0,0,0,0,0,0,0
Condominium,3.0,1,2,1001.0,Kuala Lumpur,1500.0,0,0,0,0,1,0
Condominium,3.0,2,2,1125.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,4.0,1,2,1040.0,Kuala Lumpur,3000.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1050.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Condominium,4.0,2,4,3218.0,Kuala Lumpur,16000.0,0,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,2,2,932.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Service Residence,3.0,1,2,948.0,Kuala Lumpur,1300.0,1,0,0,0,0,0
Apartment,3.0,1,2,1500.0,Kuala Lumpur,1500.0,0,0,0,0,1,0
Apartment,4.0,1,2,1000.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
