property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Condominium,3.0,1,3,1267.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,1,3,1267.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,2.0,1,2,999.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Condominium,3.0,2,2,1121.0,Kuala Lumpur,1750.0,0,0,0,0,0,0
Apartment,2.0,1,2,872.0,Kuala Lumpur,2000.0,0,0,1,0,0,0
Apartment,3.0,1,2,860.0,Kuala Lumpur,1300.0,0,0,0,0,1,0
Condominium,3.0,1,2,904.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Apartment,3.0,1,2,835.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,850.0,0,1,0,0,0,0
Condominium,3.0,1,2,1129.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Service Residence,2.0,1,2,1132.0,Kuala Lumpur,1900.0,0,0,1,0,0,0
Condominium,2.0,1,1,700.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1000.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Condominium,4.0,1,2,1142.0,Kuala Lumpur,1550.0,0,0,1,0,0,0
Condominium,4.0,2,2,1300.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Apartment,3.0,1,2,884.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Service Residence,3.0,2,2,1000.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Service Residence,2.0,1,1,650.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Apartment,3.0,2,2,800.0,Kuala Lumpur,1100.0,0,0,0,0,0,0
Condominium,3.0,2,2,1300.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Apartment,3.0,1,2,1200.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,3.0,1,2,770.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,3.0,2,2,800.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,3.0,2,2,850.0,Kuala Lumpur,1650.0,0,0,0,0,0,0
Service Residence,2.0,1,1,646.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,2.0,1,2,1000.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,4.0,3,5,1899.0,Kuala Lumpur,2599.0,0,0,0,0,0,0
Apartment,3.0,1,2,1000.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,4.0,1,2,877.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Service Residence,1.0,1,1,360.0,Kuala Lumpur,900.0,0,0,0,0,0,1
Service Residence,1.0,1,1,521.0,Kuala Lumpur,1200.0,0,0,0,0,1,0
Service Residence,1.0,1,1,468.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,3.0,1,2,862.0,Kuala Lumpur,2300.0,0,0,0,0,0,0
Condominium,4.0,1,2,1142.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,2,2,1224.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Apartment,3.0,1,1,700.0,Kuala Lumpur,700.0,0,0,0,0,0,0
Condominium,3.0,2,2,1193.0,Kuala Lumpur,1900.0,1,0,0,0,0,0
Service Residence,3.0,2,2,1200.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Service Residence,3.0,1,2,926.0,Kuala Lumpur,1399.0,0,0,0,0,0,0
Apartment,3.0,1,3,935.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,1450.0,0,0,0,0,1,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1500.0,0,0,1,0,0,0
Flat,3.0,1,2,650.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Condominium,3.0,1,2,1070.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Service Residence,1.0,1,1,560.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Condominium,2.0,1,2,705.0,Kuala Lumpur,1900.0,0,0,0,1,0,0
Apartment,2.0,1,2,866.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,3300.0,1,0,0,0,0,0
Service Residence,1.0,1,1,600.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
