,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
5675,5675,Minimart, Security, Swimming Pool, Playground, Parking, Lift, Barbeque area, Squash Court, Jogging Track,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
5676,5676,Gymnasium, Security, Playground, Swimming Pool, Multipurpose hall, Parking,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5677,5677,Barbeque area, Club house, Gymnasium, Squash Court, Minimart, Swimming Pool, Playground, Parking, Security, Tennis Court, Sauna,na,na,na,Cooking Allowed,na,na,na,na,na
5678,5678,Parking, Security, Lift, Playground, Barbeque area, Swimming Pool, Sauna, Gymnasium, Multipurpose hall, Jogging Track, Squash Court, Tennis Court, Minimart,na,Air-Cond,na,na,na,na,na
5679,5679,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5680,5680,Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Playground, Lift,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
5681,5681,Parking, Security, Jogging Track, Sauna, Tennis Court, Gymnasium, Swimming Pool, Squash Court, Minimart, Barbeque area, Club house, Playground,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5682,5682,Parking, Security, Minimart, Swimming Pool, Gymnasium, Playground,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5683,5683,Security, Squash Court, Gymnasium, Barbeque area, Swimming Pool, Tennis Court, Club house,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5684,5684,Security, Minimart, Playground, Tennis Court, Swimming Pool, Squash Court, Gymnasium, Lift, Club house, Parking, Sauna,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5685,5685,Parking, Lift, Playground, Minimart, Jogging Track,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
5686,5686,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5687,5687,Security, Gymnasium, Parking, Minimart, Playground, Swimming Pool,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5688,5688,Playground, Gymnasium, Security, Swimming Pool, Lift, Parking, Minimart, Barbeque area, Multipurpose hall,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5689,5689,Parking, Gymnasium, Minimart, Lift, Security, Playground, Swimming Pool, Barbeque area, Multipurpose hall,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5690,5690,Parking, Security, Club house, Playground, Barbeque area, Sauna, Swimming Pool, Jogging Track, Lift, Gymnasium, Minimart, Multipurpose hall,na,na,Cooking Allowed,na,na,na,na,na
5691,5691,Parking, Tennis Court, Security, Minimart, Playground, Swimming Pool, Jogging Track, Gymnasium, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
5692,5692,Security, Playground, Jogging Track, Swimming Pool, Barbeque area, Multipurpose hall, Tennis Court, Parking, Lift, Gymnasium, Sauna,na,na,na,Cooking Allowed, Washing Machine, Air-Cond,na,na,na
5693,5693,Swimming Pool, Gymnasium, Multipurpose hall, Parking, Security, Sauna, Lift,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5694,5694,Gymnasium, Jogging Track, Playground, Swimming Pool, Security, Parking, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5695,5695,Security, Sauna, Club house, Swimming Pool, Multipurpose hall, Parking, Barbeque area, Lift, Playground, Gymnasium,na,na,na,na,Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT,na,na
5696,5696,Swimming Pool, Squash Court, Security, Sauna, Playground, Barbeque area, Gymnasium, Multipurpose hall, Parking, Lift,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5697,5697,Security, Playground, Minimart, Parking, Lift,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
5698,5698,Lift, Security, Parking,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5699,5699,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5700,5700,Security, Playground, Barbeque area, Parking, Gymnasium, Minimart, Sauna, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5701,5701,Swimming Pool, Gymnasium, Security, Minimart, Parking, Playground, Jogging Track, Lift, Multipurpose hall, Barbeque area,na,na,na,na,Cooking Allowed,na,na,na,na,na
5702,5702,Minimart, Swimming Pool, Club house, Security, Playground, Jogging Track, Parking, Lift, Gymnasium, Multipurpose hall, Tennis Court,na,na,na,Cooking Allowed, Washing Machine, Internet,na,na,na
5703,5703,Parking, Security, Playground, Swimming Pool, Minimart, Sauna, Barbeque area,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5704,5704,Parking, Security, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5705,5705,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Jogging Track, Gymnasium, Barbeque area,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
5706,5706,Playground, Parking, Swimming Pool, Barbeque area, Security,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
5707,5707,Tennis Court, Club house, Gymnasium, Squash Court, Playground,na,na,na,na,na,na,na,na,na,Air-Cond, Washing Machine, Cooking Allowed,na,na,na
5708,5708,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track,na,na,na,na,na,na,unknown,na,na,na,na,na
5709,5709,Security, Gymnasium, Playground, Parking, Minimart, Swimming Pool,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5710,5710,Parking, Security, Lift, Playground, Minimart, Jogging Track, Multipurpose hall,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5711,5711,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,unknown,na,na,na,na,na
5712,5712,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5713,5713,Gymnasium, Parking, Security, Minimart, Swimming Pool, Playground, Tennis Court, Squash Court, Barbeque area, Sauna,na,na,na,na,unknown,na,na,na,na,na
5714,5714,Multipurpose hall, Playground, Gymnasium, Jogging Track, Parking,na,na,na,na,na,na,na,na,na,Near KTM/LRT, Washing Machine, Air-Cond, Cooking Allowed,na,na
5715,5715,Sauna, Gymnasium, Playground, Swimming Pool, Parking, Security, Lift, Minimart,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Air-Cond, Washing Machine,na,na
5716,5716,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
5717,5717,Minimart, Swimming Pool, Gymnasium, Parking, Squash Court, Barbeque area, Sauna, Club house,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5718,5718,Parking, Security, Swimming Pool, Playground,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5719,5719,Parking, Security, Gymnasium, Playground,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5720,5720,Swimming Pool, Gymnasium, Barbeque area, Security, Lift, Playground, Multipurpose hall, Parking,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5721,5721,Minimart, Parking, Playground, Security, Lift,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
5722,5722,Parking, Sauna, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track, Security,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
5723,5723,Lift, Security, Parking, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
5724,5724,Lift, Tennis Court, Jogging Track, Barbeque area, Multipurpose hall, Security, Playground, Swimming Pool, Parking, Gymnasium, Club house, Minimart,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5725,5725,Security, Swimming Pool, Parking, Playground, Gymnasium, Minimart,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5726,5726,Security, Playground, Gymnasium, Barbeque area, Parking, Swimming Pool,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5727,5727,Playground, Gymnasium, Tennis Court, Minimart, Swimming Pool, Multipurpose hall, Parking, Security,na,na,na,na,na,na,unknown,na,na,na,na,na
5728,5728,Parking, Sauna, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track, Security,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5729,5729,Parking, Swimming Pool,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
5730,5730,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
5731,5731,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5732,5732,Parking, Security, Jogging Track, Minimart, Swimming Pool,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
5733,5733,Barbeque area, Security, Minimart, Playground, Gymnasium, Sauna, Multipurpose hall, Lift, Swimming Pool, Parking,na,na,na,na,Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine,na,na
5734,5734,Gymnasium, Parking, Security, Playground, Swimming Pool,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5735,5735,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5736,5736,Security, Minimart, Barbeque area, Swimming Pool, Parking, Gymnasium, Playground,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5737,5737,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5738,5738,Swimming Pool, Minimart, Lift, Sauna, Parking, Playground, Gymnasium, Tennis Court, Security, Squash Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5739,5739,Swimming Pool, Tennis Court, Minimart, Gymnasium, Parking, Security, Playground, Squash Court, Lift, Sauna,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5740,5740,Playground, Swimming Pool, Lift, Gymnasium, Tennis Court, Sauna, Security, Parking, Minimart, Squash Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5741,5741,Minimart, Playground, Gymnasium, Security, Swimming Pool, Parking,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5742,5742,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5743,5743,Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5744,5744,Security, Multipurpose hall, Swimming Pool, Minimart, Parking, Playground, Lift, Barbeque area,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
5745,5745,Swimming Pool, Parking, Security, Gymnasium, Playground, Multipurpose hall, Minimart, Lift, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5746,5746,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5747,5747,Parking, Swimming Pool, Lift, Security, Minimart, Sauna, Gymnasium,na,na,na,na,na,na,na,Washing Machine, Air-Cond, Cooking Allowed, Near KTM/LRT,na,na
5748,5748,Parking, Gymnasium, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Barbeque area,na,na,na,na,na,Air-Cond, Internet, Cooking Allowed, Washing Machine,na,na
5749,5749,Parking, Security, Jogging Track, Minimart, Swimming Pool, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
5750,5750,Security, Swimming Pool, Tennis Court, Barbeque area, Parking,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5751,5751,Parking, Security, Minimart, Playground, Swimming Pool, Jogging Track, Lift, Gymnasium,na,na,na,na,na,na,Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine,na
5752,5752,Sauna, Security, Minimart, Playground, Swimming Pool, Gymnasium, Parking, Squash Court, Tennis Court, Barbeque area,na,na,na,na,unknown,na,na,na,na,na
5753,5753,Swimming Pool, Parking, Gymnasium, Security, Minimart, Playground, Lift,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
5754,5754,Jogging Track, Parking, Gymnasium, Security, Minimart, Swimming Pool,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5755,5755,Swimming Pool, Lift, Security, Parking, Jogging Track, Tennis Court, Minimart,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5756,5756,Swimming Pool, Playground, Security, Parking, Lift, Jogging Track, Multipurpose hall, Minimart, Barbeque area, Gymnasium,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
5757,5757,Lift, Parking,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5758,5758,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5759,5759,Parking, Minimart, Security, Multipurpose hall,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5760,5760,Multipurpose hall, Security, Barbeque area, Jogging Track, Lift, Parking, Playground, Gymnasium,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
5761,5761,Tennis Court, Jogging Track, Barbeque area, Multipurpose hall, Parking, Security, Playground, Lift, Swimming Pool,na,na,na,na,na,Air-Cond,na,na,na,na,na
5762,5762,Parking, Playground, Minimart, Jogging Track,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5763,5763,Playground, Squash Court, Swimming Pool, Parking, Gymnasium, Security, Lift, Minimart, Barbeque area, Sauna,na,na,na,na,Internet, Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na
5764,5764,Swimming Pool, Gymnasium, Parking, Playground, Security, Lift,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5765,5765,Squash Court, Swimming Pool, Tennis Court, Barbeque area, Sauna, Parking, Security, Playground, Gymnasium, Lift, Minimart,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
5766,5766,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5767,5767,Multipurpose hall, Swimming Pool, Gymnasium, Barbeque area, Sauna, Playground, Jogging Track, Parking, Security,na,na,na,na,na,unknown,na,na,na,na,na
5768,5768,Swimming Pool, Playground, Barbeque area, Multipurpose hall, Gymnasium, Jogging Track, Parking, Security, Lift,na,na,na,na,na,Air-Cond,na,na,na,na,na
5769,5769,Minimart, Swimming Pool, Squash Court, Lift, Security, Playground, Parking, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5770,5770,Security, Parking, Lift, Playground, Gymnasium,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5771,5771,Minimart, Swimming Pool, Squash Court, Lift, Security, Playground, Parking, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5772,5772,Swimming Pool, Parking, Playground, Security, Gymnasium, Sauna, Barbeque area, Lift, Multipurpose hall, Minimart, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5773,5773,Gymnasium, Parking, Sauna, Club house, Security, Swimming Pool, Barbeque area, Tennis Court, Playground, Minimart, Lift,na,na,na,Air-Cond, Washing Machine,na,na,na,na
5774,5774,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5775,5775,Gymnasium, Tennis Court, Barbeque area, Sauna, Swimming Pool, Security, Minimart, Parking, Playground, Squash Court,na,na,na,na,unknown,na,na,na,na,na
5776,5776,Parking, Lift, Playground, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5777,5777,Security, Gymnasium, Parking, Playground, Multipurpose hall,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5778,5778,Multipurpose hall, Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Jogging Track, Sauna, Lift, Parking,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5779,5779,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Sauna, Barbeque area, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5780,5780,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5781,5781,Security, Barbeque area, Club house, Parking, Playground, Swimming Pool, Gymnasium, Jogging Track, Lift,na,na,na,na,na,unknown,na,na,na,na,na
5782,5782,Parking, Playground, Gymnasium, Jogging Track, Security, Lift, Barbeque area, Multipurpose hall, Swimming Pool,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5783,5783,Jogging Track, Sauna, Parking, Security, Multipurpose hall, Swimming Pool, Playground, Gymnasium, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5784,5784,Gymnasium, Sauna, Playground, Swimming Pool, Barbeque area, Minimart, Tennis Court, Jogging Track, Security, Parking, Lift, Multipurpose hall, Squash Court, Club house,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5785,5785,Jogging Track, Sauna, Parking, Security, Multipurpose hall, Swimming Pool, Playground, Gymnasium, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5786,5786,Minimart, Squash Court, Sauna, Parking, Playground, Lift, Security, Gymnasium, Jogging Track, Swimming Pool,na,na,na,na,unknown,na,na,na,na,na
5787,5787,Parking, Gymnasium, Multipurpose hall, Swimming Pool, Sauna, Security, Lift, Playground, Barbeque area, Minimart, Jogging Track, Squash Court, Tennis Court,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5788,5788,Playground, Minimart, Swimming Pool, Gymnasium, Parking, Security, Lift, Multipurpose hall, Barbeque area, Sauna, Jogging Track,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5789,5789,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5790,5790,Jogging Track, Barbeque area, Minimart, Playground, Parking, Security, Lift,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5791,5791,Multipurpose hall, Playground, Swimming Pool, Barbeque area, Club house, Jogging Track, Security, Gymnasium, Parking, Sauna, Lift, Tennis Court, Squash Court, Minimart,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5792,5792,Parking, Gymnasium, Security, Minimart, Tennis Court, Squash Court, Playground, Swimming Pool,na,na,na,na,na,na,unknown,na,na,na,na,na
5793,5793,Minimart, Tennis Court, Swimming Pool, Lift, Security, Gymnasium, Parking, Playground, Squash Court, Jogging Track, Club house,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
5794,5794,Sauna, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Security, Barbeque area,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5795,5795,Gymnasium, Security, Swimming Pool, Parking, Playground, Lift, Multipurpose hall,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5796,5796,Minimart, Swimming Pool, Gymnasium, Squash Court, Security, Lift, Parking, Tennis Court, Playground, Barbeque area, Sauna, Multipurpose hall, Jogging Track,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5797,5797,Playground, Gymnasium, Security, Parking, Lift, Swimming Pool,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5798,5798,Parking, Swimming Pool, Sauna, Security, Tennis Court, Jogging Track, Barbeque area, Playground, Minimart, Gymnasium,na,na,na,na,unknown,na,na,na,na,na
5799,5799,Gymnasium, Playground, Swimming Pool, Parking, Security, Minimart,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5800,5800,Gymnasium, Sauna, Parking, Playground, Tennis Court, Security, Minimart, Swimming Pool, Barbeque area, Lift, Squash Court, Club house, Multipurpose hall, Jogging Track,Cooking Allowed, Air-Cond,na,na,na,na
5801,5801,Security, Gymnasium, Parking, Multipurpose hall, Playground,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5802,5802,Playground, Gymnasium, Multipurpose hall, Security, Parking,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5803,5803,Security, Swimming Pool, Playground, Parking, Minimart, Lift,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5804,5804,Multipurpose hall, Playground, Swimming Pool, Barbeque area, Club house, Jogging Track, Security, Gymnasium, Parking, Lift, Sauna, Minimart, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5805,5805,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
5806,5806,Parking, Security, Minimart, Swimming Pool, Gymnasium, Barbeque area,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5807,5807,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5808,5808,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5809,5809,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5810,5810,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Club house, Gymnasium,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5811,5811,Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Gymnasium, Club house, Multipurpose hall, Jogging Track, Minimart,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5812,5812,Parking, Playground, Jogging Track, Gymnasium, Lift, Security, Swimming Pool, Barbeque area, Multipurpose hall,na,na,na,na,na,unknown,na,na,na,na,na
5813,5813,Playground, Swimming Pool, Jogging Track, Lift, Parking, Security, Barbeque area, Multipurpose hall, Gymnasium, Minimart,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
5814,5814,Multipurpose hall, Security, Swimming Pool, Minimart, Playground, Jogging Track, Parking,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
5815,5815,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5816,5816,Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Club house,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
5817,5817,Playground, Swimming Pool, Lift, Gymnasium, Parking, Security,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
5818,5818,Jogging Track, Lift, Multipurpose hall, Security, Gymnasium, Tennis Court, Barbeque area, Club house, Sauna, Swimming Pool, Minimart, Playground, Squash Court, Parking,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5819,5819,Lift, Security, Parking, Minimart,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
5820,5820,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,unknown,na,na,na,na,na
5821,5821,Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5822,5822,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5823,5823,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
5824,5824,Parking, Security, Club house, Minimart, Gymnasium, Barbeque area, Playground, Swimming Pool,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5825,5825,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Club house, Jogging Track,Cooking Allowed,na,na,na,na,na
5826,5826,Lift,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
5827,5827,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5828,5828,Swimming Pool, Playground, Sauna, Security, Barbeque area, Parking, Lift,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5829,5829,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
5830,5830,Gymnasium, Multipurpose hall, Playground, Swimming Pool, Security, Barbeque area, Sauna,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
5831,5831,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
