,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
36,36,Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area,na,na,na,na,Air-Cond, Cooking Allowed, Internet,na,na,na
37,37,Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Internet,na,na
38,38,Security, Parking,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
39,39,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
40,40,Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
41,41,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
42,42,Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground,na,na,na,na,na,unknown,na,na,na,na,na
43,43,Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
44,44,Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
45,45,Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area,na,na,na,na,na,na,na,unknown,na,na,na,na,na
46,46,Security, Playground,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
47,47,Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
48,48,Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart,na,na,na,na,na,unknown,na,na,na,na,na
