,Unnamed: 0,prop_name,location,property_type,rooms,parking,bathroom,size,furnished,region,monthly_rent(RM),Club house,Gymnasium,Jogging Track,Lift,Minimart,Multipurpose hall,Parking,Playground,Sauna,Security,Squash Court,Swimming Pool,Tennis Court,unknown, Club house, Gymnasium, Jogging Track, Lift, Minimart, Multipurpose hall, Parking, Playground, Sauna, Security, Squash Court, Swimming Pool, Tennis Court, Barbeque area, 11,Air-Cond,Cooking Allowed,Internet,Near KTM/LRT,Washing Machine, Cooking Allowed, Internet, Near KTM/LRT, Washing Machine
19,19,East Side One Ampang Avenue,Kuala Lumpur - Ampang,Condominium,3,1,2,1100 sq.ft.,Fully Furnished,Kuala Lumpur,1800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Not Furnished,Kuala Lumpur,1099,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
21,21,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Partially Furnished,Kuala Lumpur,1099,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
22,22,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,3,1,2,819 sq.ft.,Not Furnished,Kuala Lumpur,1199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
23,23,Majestic Maxim,Kuala Lumpur - Cheras,Service Residence,2,1,2,650 sq.ft.,Not Furnished,Kuala Lumpur,1100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,24,Sri Penara,Kuala Lumpur - Cheras,Apartment,3,0,2,650 sq.ft.,Not Furnished,Kuala Lumpur,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,Prisma Cheras,Kuala Lumpur - Cheras,Condominium,1,1,1,900 sq.ft.,Partially Furnished,Kuala Lumpur,1100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,Menara Alpha,Kuala Lumpur - Wangsa Maju,Condominium,3,1,2,1140 sq.ft.,Not Furnished,Kuala Lumpur,1400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,Berlian Residence @ Setapak,Kuala Lumpur - Setapak,Condominium,3,1,2,900 sq.ft.,Not Furnished,Kuala Lumpur,1500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,28 Dutamas,Kuala Lumpur - Solaris Dutamas,Condominium,4,2,3,1500 sq.ft.,Partially Furnished,Kuala Lumpur,2500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
